Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,CompositeDepth5y,Sector,Region,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
06-Mar-19,SESG,SES,LTB30H,SUBLT2,EUR,MM14,Composite,0.13%,0.17%,0.24%,0.36%,0.69%,0.95%,1.12%,1.21%,1.28%,1.35%,20%,11,Communications and Technology,Europe,BBB,BBB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SEVENI-ITO,ITO YOKADO CO LTD,JL772G,SNRFOR,JPY,CR14,Composite,0.04%,0.05%,0.09%,0.14%,0.25%,0.33%,0.41%,0.42%,0.44%,0.44%,35%,3,Consumer Cyclical,Asia,,A,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SFD,Smithfield Foods Inc,8B546C,SNRFOR,USD,XR14,Composite,0.19%,0.23%,0.45%,0.69%,1.30%,1.69%,1.90%,2.11%,2.25%,2.30%,40%,8,Consumer Stable,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SFD,Smithfield Foods Inc,8B546C,SUBLT2,USD,XR14,Composite,0.28%,0.35%,0.68%,1.05%,1.97%,2.55%,2.86%,3.19%,3.42%,3.52%,20%,8,Consumer Stable,N.Amer,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SGCLN,Stagecoach Gp Plc,GOC43P,SNRFOR,EUR,MM14,Composite,0.14%,0.20%,0.34%,0.50%,0.82%,1.03%,1.16%,1.15%,1.20%,1.24%,40%,4,Industrial,Europe,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SGPAU,Stockland Trst Mgmt Ltd,QYFEGQ,SNRFOR,USD,MR14,Composite,0.18%,0.21%,0.42%,0.63%,1.05%,1.32%,1.53%,1.45%,1.39%,1.31%,40%,3,Unclassified,Oceania,,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SGRO,SEGRO PLC,GO829E,SNRFOR,EUR,MM14,Composite,0.21%,0.23%,0.46%,0.72%,1.24%,1.52%,1.71%,,,,40%,4,,Europe,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,,,,CcyGrp
06-Mar-19,SGTHLTD,STAGECOACH Transp Hldgs Ltd,GOC44P,SNRFOR,EUR,MM14,Composite,0.14%,0.19%,0.35%,0.50%,0.83%,1.04%,1.17%,1.21%,1.26%,1.30%,40%,2,Industrial,Europe,,BB,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin,Thin
06-Mar-19,SHANPUD,Shanghai Pudong Dev Bk Co Ltd,Y5DEHN,SNRFOR,USD,CR14,Composite,0.28%,0.33%,0.49%,0.65%,1.15%,1.53%,1.86%,2.48%,2.53%,2.58%,40%,3,,Asia,BBB,BB,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,Thin,Thin,Thin,CcyGrp
06-Mar-19,SHARP,SHARP Corp,89AHGA,SNRFOR,JPY,CR14,Composite,0.36%,0.46%,0.76%,1.03%,1.40%,1.49%,1.55%,1.58%,1.60%,1.63%,34.33%,6,Industrial,Asia,BB,B,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp,CcyGrp
