"Date","Timezone","Ticker","ShortName","RedCode","Tier","Ccy","DocClause","Spread6m","Spread1y","Spread2y","Spread3y","Spread4y","Spread5y","Spread7y","Spread10y","Spread15y","Spread20y","Spread30y","Recovery","DataRating","Sector","Region","Country","AvRating","ImpliedRating"
"06-MAR-19","E","KMB","KIMBERLYCLARK CORP","4DD79E","SNRFOR","USD","XR14","0.074301%","0.108022%","0.156733%","0.218331%","0.30093899999999996%","0.40059199999999995%","0.54022%","0.636035%","0.669374%","0.6860269999999999%","0.681675%","40%","","Consumer Goods","N.Amer","United States","A","BBB"
"06-MAR-19","E","KMG","KerrMcGee Corp","4DB5BE","SNRFOR","EUR","MR14","0.199485%","0.262308%","0.454642%","0.54177%","0.6522530000000001%","0.781251%","0.9206489999999999%","1.0712030000000001%","1.116568%","1.12989%","1.151794%","42%","","Energy","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","KMG","KerrMcGee Corp","4DB5BE","SNRFOR","USD","MR14","0.199485%","0.262308%","0.454642%","0.54177%","0.6522530000000001%","0.781251%","0.9206489999999999%","1.0712030000000001%","1.116568%","1.12989%","1.151794%","42%","","Energy","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","KMG","KerrMcGee Corp","4DB5BE","SNRFOR","USD","XR14","0.193201%","0.254027%","0.44029%","0.524672%","0.6316740000000001%","0.756613%","0.8916310000000001%","1.037468%","1.081435%","1.094361%","1.115604%","42%","","Energy","N.Amer","United States","BBB","BBB"
"06-MAR-19","E","KMGNC","Jt Stk Co KazMunayGas Natl Co","Y29DIP","SNRFOR","USD","CR14","0.29215399999999997%","0.52266%","0.792994%","0.953086%","1.153237%","1.352583%","1.7444950000000001%","1.912914%","2.266812%","2.246665%","2.2906180000000003%","25%","","Energy","E.Eur","Kazakhstan","BB","BB"
"06-MAR-19","E","KMP","Kinder Morgan Engy Partners L P","4DD9A5","SNRFOR","AUD","MR14","0.035095%","0.057361999999999996%","0.093872%","0.17960700000000002%","0.283479%","0.39805500000000005%","0.735727%","1.0627920000000002%","1.192574%","1.254601%","1.148703%","40%","","Energy","N.Amer","United States","BBB","A"
"06-MAR-19","E","KMP","Kinder Morgan Engy Partners L P","4DD9A5","SNRFOR","EUR","MR14","0.035095%","0.057361999999999996%","0.093872%","0.17960700000000002%","0.283479%","0.39805500000000005%","0.735727%","1.0627920000000002%","1.192574%","1.254601%","1.148703%","40%","","Energy","N.Amer","United States","BBB","A"
"06-MAR-19","E","KMP","Kinder Morgan Engy Partners L P","4DD9A5","SNRFOR","EUR","XR14","0.034276%","0.056118%","0.091888%","0.176746%","0.27810500000000005%","0.389887%","0.719297%","1.038289%","1.1573200000000001%","1.21716%","1.1212410000000002%","40%","","Energy","N.Amer","United States","BBB","A"
"06-MAR-19","E","KMP","Kinder Morgan Engy Partners L P","4DD9A5","SNRFOR","USD","MR14","0.035095%","0.057361999999999996%","0.093872%","0.17960700000000002%","0.283479%","0.39805500000000005%","0.735727%","1.0627920000000002%","1.192574%","1.254601%","1.148703%","40%","","Energy","N.Amer","United States","BBB","A"
"06-MAR-19","E","KMP","Kinder Morgan Engy Partners L P","4DD9A5","SNRFOR","USD","XR14","0.034276%","0.056118%","0.091888%","0.176746%","0.27810500000000005%","0.389887%","0.719297%","1.038289%","1.1573200000000001%","1.21716%","1.1212410000000002%","40%","","Energy","N.Amer","United States","BBB","A"
"06-MAR-19","E","KNBZMK","Khazanah Nasional BHD","Y2BCAV","SNRFOR","USD","CR14","0.814577%","0.80581%","0.889378%","0.845494%","0.8910039999999999%","0.915562%","1.2605899999999999%","1.519456%","1.5355189999999999%","1.548818%","1.558864%","40%","","Government","Asia","Malaysia","A","BB"
"06-MAR-19","E","KO","COCACOLA CO","1AA337","SNRFOR","EUR","MR14","0.06425%","0.081081%","0.102523%","0.144103%","0.20328999999999997%","0.279817%","0.40465500000000004%","0.525721%","0.544137%","0.554905%","0.558229%","40%","","Consumer Goods","N.Amer","United States","A","A"
"06-MAR-19","E","KO","COCACOLA CO","1AA337","SNRFOR","USD","MR14","0.06425%","0.081081%","0.102523%","0.144103%","0.20328999999999997%","0.279817%","0.40465500000000004%","0.525721%","0.544137%","0.554905%","0.558229%","40%","","Consumer Goods","N.Amer","United States","A","A"
"06-MAR-19","E","KO","COCACOLA CO","1AA337","SNRFOR","USD","XR14","0.062370999999999996%","0.0788%","0.099649%","0.140094%","0.19764800000000002%","0.272059%","0.393426%","0.511115%","0.528927%","0.539345%","0.542471%","40%","","Consumer Goods","N.Amer","United States","A","A"
"06-MAR-19","E","KOBE","City of Kobe","JM77BB","SNRFOR","JPY","CR14","0.09434200000000001%","0.094059%","0.171108%","0.24304800000000001%","0.369643%","0.490784%","0.539857%","0.5938370000000001%","0.630659%","0.6578299999999999%","0.703201%","35%","","Government","Asia","Japan","","A"
"06-MAR-19","E","KOBSTL","Kobe Stl Ltd","4DIHHB","SNRFOR","EUR","CR14","0.206474%","0.244614%","0.483862%","0.6360939999999999%","0.8509589999999999%","1.039443%","1.2760850000000001%","1.351584%","1.364457%","1.3732039999999999%","1.401461%","35%","","Basic Materials","Asia","Japan","","BB"
"06-MAR-19","E","KOBSTL","Kobe Stl Ltd","4DIHHB","SNRFOR","JPY","CR14","0.177524%","0.20948300000000003%","0.428982%","0.566814%","0.765083%","0.9425859999999999%","1.168934%","1.2455829999999999%","1.266784%","1.285736%","1.3364449999999999%","35%","","Basic Materials","Asia","Japan","","BB"
"06-MAR-19","E","KOBSTL","Kobe Stl Ltd","4DIHHB","SNRFOR","JPY","XR14","0.177524%","0.20948300000000003%","0.428982%","0.566814%","0.765083%","0.9425859999999999%","1.168934%","1.2455829999999999%","1.266784%","1.285736%","1.3364449999999999%","35%","","Basic Materials","Asia","Japan","","BB"
"06-MAR-19","E","KOBSTL","Kobe Stl Ltd","4DIHHB","SNRFOR","USD","CR14","0.206474%","0.244614%","0.483862%","0.6360939999999999%","0.8509589999999999%","1.039443%","1.2760850000000001%","1.351584%","1.364457%","1.3732039999999999%","1.401461%","35%","","Basic Materials","Asia","Japan","","BB"
